City,State,Neighborhood,Latitude,Longitude,Home Ownership,Home Rentership,Home Value,Median Age,Population Denisty
Denver,CO,Valverde,39.7178,-105.013931836,0.469133,0.467827,146984,28.976923,6158.707692
Denver,CO,Athmar Park,39.7038,-105.00953837,0.52836,0.416987,158784,30.266667,8109.122222
Denver,CO,Windsor,39.7033,-104.885291102,0.425689,0.504181,210629,42.035294,10451.935294
Denver,CO,Northeast Park Hill,39.7755,-104.922682348,0.541778,0.395771,183152,33.425,5487.516667
Denver,CO,Elyria Swansea,39.7825,-104.958404386,0.531861,0.409766,155894,27.653846,3568.969231
Denver,CO,Wellshire,39.6605,-104.949777192,0.751851,0.198662,434306,45.1,4008.98
Denver,CO,University,39.6748,-104.966421625,0.542895,0.3845,310251,37.764286,6613.578571
Denver,CO,Rosedale,39.6731,-104.980515209,0.57848,0.358909,236541,39.56,5674.54
Denver,CO,East Colfax,39.7413,-104.894257667,0.361891,0.541983,226761,31.188889,9251.355556
Denver,CO,Lincoln Park,39.7328,-105.003798656,0.272572,0.618383,234108,30.8,6997.57
Denver,CO,City Park West,39.7453,-104.966530284,0.235314,0.651618,292925,35.42,13644.56
Denver,CO,Union Station,39.7532,-105.000191399,0.347277,0.465733,390934,41.957143,5929.128571
Denver,CO,Five Points,39.7593,-104.985427776,0.323021,0.568406,259668,33.5625,8745.933333
Denver,CO,Stapleton,39.7784,-104.872511384,0.501181,0.436493,164408,31.705882,6157.923529
Denver,CO,Montbello,39.7858,-104.837559565,0.637799,0.303649,179811,30.55,8721.81
Denver,CO,Lowry Field,39.7197,-104.891168843,0.412086,0.50888,302358,39.215789,9091.557895
