City,State,Neighborhood,Latitude,Longitude,Home Ownership,Home Rentership,Home Value,Median Age,Population Denisty
Austin,TX,Franklin Park,30.1977,-97.7488575937,0.45997,0.483662,106262,28.907143,6715.435714
Austin,TX,Galindo,30.2365,-97.7682392494,0.303443,0.635669,146697,32.06,7492.68
Austin,TX,Garrison Park,30.2094,-97.8009741545,0.444305,0.498518,143534,34.56,5736.486667
Austin,TX,Gateway,30.3908,-97.7399763704,0.245397,0.631247,283596,33.725,3150.825
Austin,TX,Georgian Acres,30.3513,-97.6999325295,0.267023,0.659345,119306,30.127273,8606.836364
Austin,TX,Govalle,30.2591,-97.7027554884,0.437955,0.486754,92209,32.366667,4414.94
Seattle,WA,Windermere,47.6701,-122.262674865,0.655355,0.284598,646423,42.383333,6346.766667
Austin,TX,Hancock,30.2967,-97.7249554176,0.23347,0.698727,231716,26.741667,7469.508333
Austin,TX,Heritage Hills,30.3453,-97.6877765987,0.326176,0.593709,121028,30.841667,6806.358333
Austin,TX,Highland,30.3336,-97.7147662784,0.298097,0.634615,141962,32.175,5420.708333
Austin,TX,Holly,30.2544,-97.7194588653,0.361597,0.567522,83027,31.511111,7697.033333
Austin,TX,Hyde Park,30.3076,-97.7268991431,0.195705,0.741505,257165,28.4,7956.15
Austin,TX,Johnston Terrace,30.258,-97.6841172508,0.52219,0.386902,77767,33.214286,2936.514286
Austin,TX,Martin Luther King-Hwy 183,30.2805,-97.6728311054,0.526963,0.400358,92670,30.95,3560.93
Seattle,WA,Loyal Heights,47.6832,-122.384868675,0.605153,0.344069,415631,40.529412,10233.158824
Austin,TX,McKinney,30.2007,-97.7308829825,0.456963,0.478333,101419,30.8,3191.125
Austin,TX,Mlk,30.2829,-97.6924640824,0.399907,0.530352,103900,31.230769,5142.369231
Austin,TX,Montopolis,30.2278,-97.6970620663,0.379549,0.555148,98366,27.211111,4437.733333
Austin,TX,North Austin,30.3693,-97.7056350108,0.331306,0.609212,130055,30.728571,8268.361905
Austin,TX,Parker Lane,30.2223,-97.7320970168,0.27711,0.660475,128022,30.029412,7483.311765
Austin,TX,North Burnett,30.3915,-97.7191792291,0.221529,0.705544,173107,32.08,4564.866667
Austin,TX,North Lamar,30.3701,-97.6867139991,0.428501,0.520846,131420,33.1625,6034.975
Austin,TX,North Loop,30.3149,-97.7179849995,0.218026,0.718376,170819,28.142857,5628.257143
Austin,TX,North Shoal Creek,30.3679,-97.7355660941,0.316255,0.620292,228675,35.723077,4762.776923
Austin,TX,North University,30.2968,-97.7365210717,0.137493,0.801908,280884,24.828571,11667.228571
Austin,TX,Old West Austin,30.2757,-97.7609956534,0.25576,0.645465,417277,32.946154,5611.315385
Austin,TX,Saint Edwards,30.2276,-97.7525190191,0.197489,0.735362,138691,29.185714,5614.628571
Austin,TX,Pecan Springs Springdale,30.2974,-97.6741446829,0.497185,0.435403,113381,31.891667,4403.225
Austin,TX,Pleasant Valley,30.2337,-97.710510899,0.282643,0.64244,104728,27.509091,7468.845455
Austin,TX,Riverside,30.2394,-97.7277467678,0.206111,0.728678,152877,31.033333,9497.127778
Austin,TX,Rmma,30.298,-97.7012085052,0.336199,0.612873,137524,31.35,6366.52
Austin,TX,Rosedale,30.3176,-97.7479255322,0.485765,0.453518,306383,41.25,3502.3125
Austin,TX,Rosewood,30.2749,-97.7090478615,0.421686,0.497368,89761,33.084615,5670.115385
Austin,TX,Saint Johns,30.3311,-97.6994048789,0.252695,0.669487,118737,29.815385,6406.792308
Austin,TX,South Lamar,30.2378,-97.7815667059,0.23971,0.6961,182640,32.55,6869.778571
Austin,TX,South Manchaca,30.2198,-97.7835455852,0.373798,0.571808,129839,34.928571,5636.4
Austin,TX,South River City,30.2468,-97.7440931176,0.344125,0.588837,261095,37.388889,6400.588889
Austin,TX,Southeast,30.2033,-97.6977939826,0.626916,0.31581,98404,29.18,1897.64
Austin,TX,Sweet Briar,30.1992,-97.7763744215,0.382101,0.562767,115683,31.3125,6394.2125
Austin,TX,Triangle State,30.3112,-97.7337167296,0.191313,0.749753,253304,29.754545,6610.563636
Seattle,WA,North Beach,47.6961,-122.396153555,0.779752,0.17067,586410,47.08,5890.96
Austin,TX,University Hills,30.3126,-97.6706596116,0.440748,0.495152,119813,30.563636,5040.936364
Austin,TX,University Of Texas,30.2841,-97.7329712651,0.156863,0.765799,189017,32.269231,8579.230769
Austin,TX,Upper Boggy Creek,30.2915,-97.7159799104,0.244319,0.687454,155187,28.933333,6108.466667
Austin,TX,West Congress,30.2159,-97.7724941046,0.352166,0.587893,108785,32.054545,5608.872727
Austin,TX,West Gate,30.2252,-97.7979362469,0.320651,0.604271,160118,34.781818,5753.754545
Austin,TX,West University,30.2926,-97.7454874802,0.132895,0.802626,257249,25.491667,19018.691667
Seattle,WA,Roosevelt,47.6772,-122.316196188,0.544307,0.39147,481353,34.614286,10132.1
Austin,TX,Windsor Park,30.31,-97.6913941365,0.3822,0.55595,130152,30.894737,6819.615789
Austin,TX,Windsor Road,30.295,-97.7539010419,0.423013,0.507169,454195,35.558824,5658.035294
Austin,TX,Wooten,30.3604,-97.7220273345,0.243514,0.704543,175584,30.325,6511.45
Austin,TX,Zilker,30.2553,-97.7690128551,0.33333,0.592118,230891,35.766667,5145.926667
Seattle,WA,Pioneer Square,47.5975,-122.332777071,0.262771,0.650393,519136,45.725,10274.175
Seattle,WA,Westlake,47.6349,-122.34181211,0.382317,0.534337,459304,39.5,9201.244444
Seattle,WA,Sand Point,47.6817,-122.255718243,0.652009,0.283035,674229,43.5,5598.02
Seattle,WA,South Park,47.5288,-122.323015461,0.402044,0.493254,216445,32.366667,3663.933333
Seattle,WA,Maple Leaf,47.6952,-122.317400028,0.574472,0.369376,383090,39.85,8168.3
Seattle,WA,Sunset Hill,47.6779,-122.400984822,0.605186,0.339962,484537,42.942857,8570.428571
